Batsman,Country,Period,Average
"Bradman, D G",Australia,1928-1948,99.94
"Smith, S P D*",Australia,2010-,61.38
"Sutcliffe, H",England,1924-1935,60.73
"Barrington, K F",England,1955-1968,58.67
"Weekes, E D C",West Indies,1948-1958,58.62
"Hammond, W R",England,1927-1947,58.46
"Sobers, G S A",West Indies,1954-1974,57.78
"Sangakkara, K C",Sri Lanka,2000-2015,57.41
"Hobbs, J B",England,1908-1930,56.95
"Walcott, C L",West Indies,1948-1960,56.69
"Hutton, L",England,1937-1955,56.67
"Kallis, J H",South Africa,1995-2013,55.37
"Kohli, V*",India,2011-,53.92
"Chappell, G S",Australia,1970-1984,53.86
"Nourse, A D",South Africa,1935-1951,53.82
"Tendulkar, S R",India,1989-2013,53.79
"Lara, B C",West Indies,1990-2006,52.89
Javed Miandad,Pakistan,1976-1993,52.57
"Dravid, R",India,1996-2012,52.31
Mohammad Yousuf,Pakistan,1998-2010,52.29
Younis Khan,Pakistan,2000-2017,52.06
"Ponting, R T",Australia,1995-2012,51.85
"Flower, A",Zimbabwe,1992-2002,51.55
"Hussey, M E K",Australia,2005-2013,51.53
"Chanderpaul, S",West Indies,1994-2015,51.37
"Gavaskar, S M",India,1971-1987,51.12
"Waugh, S R",Australia,1985-2004,51.06
"Root, J E*",England,2012-,51.05
"Hayden, M L",Australia,1994-2009,50.74
"de Villiers, A B",South Africa,2004-2018,50.66
"Border, A R",Australia,1978-1994,50.56
"Williamson, K S*",New Zealand,2010-,50.36
"Richards, I V A",West Indies,1974-1991,50.24
"Compton, D C S",England,1937-1957,50.06
"Jayawardene, D P M D",Sri Lanka,1997-2014,49.85
Inzamam-ul-Haq,Pakistan,1992-2007,49.61
"Pujara, C A*",India,2010-,49.58
"Worrell, F M M",West Indies,1948-1963,49.49
"Sehwag, V",India,2001-2013,49.34
"Clarke, M J",Australia,2004-2015,49.11
"Mitchell, B",South Africa,1929-1949,48.89
"Samaraweera, T T",Sri Lanka,2001-2013,48.77
"Harvey, R N",Australia,1948-1963,48.42
"Walters, K D",Australia,1965-1981,48.26
"Smith, G C",South Africa,2002-2014,48.26
"McCabe, S J",Australia,1930-1938,48.21
"Warner, D A*",Australia,2011-,48.20
"Dexter, E R",England,1958-1968,47.89
"Boycott, G",England,1964-1982,47.73
"Hazare, V S",India,1946-1953,47.65
"Hendren, E H",England,1920-1935,47.64
"Gilchrist, A C",Australia,1999-2008,47.61
"Nurse, S M",West Indies,1960-1969,47.60
"Kanhai, R B",West Indies,1957-1974,47.53
"Pietersen, K P",England,2005-2014,47.29
"Amla, H M*",South Africa,2004-,47.24
"Taylor, L R P L*",New Zealand,2007-,47.23
"Lawry, W M",Australia,1961-1971,47.15
"Simpson, R B",Australia,1957-1978,46.82
"May, P B H",England,1951-1961,46.77
